RidingNum,Riding,LastName,FirstName,Party,Votes
10001,Avalon,Connors,Paul,Liberal,27563
10001,Avalon,Kent,Steve,Conservative,16953
10001,Avalon,Tilley,Alexander,Rhinoceros,230
10001,Avalon,Vanta,Judy,NDP,2284
10002,Cape Spear,Curtis,Corey,Conservative,11844
10002,Cape Spear,Osborne,Tom,Liberal,31388
10002,Cape Spear,Peach,Mike,AnimalProtection,170
10002,Cape Spear,Tingate,Kaelem,Green,140
10002,Cape Spear,Walsh,Brenda,NDP,2446
10003,Central Newfoundland,Powell,Lynette,Liberal,17696
10003,Central Newfoundland,Small,Clifford,Conservative,21975
10003,Central Newfoundland,Vincent,Darian,NDP,965
10004,Labrador,Earle,Philip,Liberal,5811
10004,Labrador,Normore,Marius,NDP,764
10004,Labrador,Wallace,Ella,Conservative,4709
10005,Long Range Mountains,Anstey,Carol,Conservative,23232
10005,Long Range Mountains,Bradshaw,Don,Liberal,19726
10005,Long Range Mountains,Coles,Robbie,Independent,637
10005,Long Range Mountains,Geiger,Pamela,PPC,537
10005,Long Range Mountains,Parsons,Sarah,NDP,2011
10006,St. John's East,Brazil,David,Conservative,11941
10006,St. John's East,Crandell,Otis,Green,159
10006,St. John's East,Crete,Samuel,Communist,98
10006,St. John's East,Shortall,Mary,NDP,5172
10006,St. John's East,Thompson,Joanne,Liberal,28681
10007,Terra Nova--The Peninsulas,Germain,Anthony,Liberal,19704
10007,Terra Nova--The Peninsulas,Rowe,Jonathan,Conservative,19692
10007,Terra Nova--The Peninsulas,Ryan,Liam,NDP,1677
11001,Cardigan,Aylward,James,Conservative,9442
11001,Cardigan,Harding,Adam,PPC,180
11001,Cardigan,MacDonald,Kent,Liberal,14404
11001,Cardigan,Phelan,Wayne,Independent,404
11001,Cardigan,Rodriguez,Maria,Green,326
11001,Cardigan,Thiele,Lynne,NDP,505
11002,Charlottetown,Byrne,Joe,NDP,906
11002,Charlottetown,Casey,Sean,Liberal,13656
11002,Charlottetown,Cousins,Daniel,Green,257
11002,Charlottetown,Jameson,Natalie,Conservative,6139
11002,Charlottetown,Lucas,Robert,PPC,131
11003,Egmont,MacFarlane,Ranald,Green,538
11003,Egmont,McLellan,Logan,Conservative,10419
11003,Egmont,Morrissey,Bobby,Liberal,12466
11003,Egmont,Rybinski,Carol,NDP,585
11004,Malpeque,Baughan,Hilda,PPC,132
11004,Malpeque,Fox,Jamie,Conservative,9846
11004,Malpeque,Keenan,Anna,Green,1049
11004,Malpeque,MacDonald,Heath,Liberal,15485
11004,Malpeque,Mackay,Cassie,NDP,371
12001,Acadie--Annapolis,Deon,Ingrid,NDP,1768
12001,Acadie--Annapolis,LeBlanc,Ronnie,Liberal,22491
12001,Acadie--Annapolis,Piggott,Matthew,Green,583
12001,Acadie--Annapolis,Strange,James,PPC,432
12001,Acadie--Annapolis,d'Entremont,Chris,Conservative,23024
12002,Cape Breton--Canso--Antigonish,Battiste,Jaime,Liberal,24908
12002,Cape Breton--Canso--Antigonish,Clark,Joanna,NDP,1930
12002,Cape Breton--Canso--Antigonish,MacMaster,Allan,Conservative,20870
12002,Cape Breton--Canso--Antigonish,Smyth,Ryan,PPC,333
12002,Cape Breton--Canso--Antigonish,Wall,Rebecca,Independent,237
12003,Central Nova,Fraser,Sean,Liberal,26078
12003,Central Nova,Jenkins,Brycen,Conservative,21465
12003,Central Nova,MacDonald,Jesiah,NDP,1649
12003,Central Nova,MacEachern,Charlie,PPC,331
12003,Central Nova,MacKenzie,Alexander,Independent,235
12003,Central Nova,Romsa,Gerald,Green,455
12004,Cumberland--Colchester,Callaghan,Kelly-Ann,Green,694
12004,Cumberland--Colchester,Church,Paul,PPC,333
12004,Cumberland--Colchester,Duchesne,Larry,NDP,1873
12004,Cumberland--Colchester,Ellis,Stephen,Conservative,22701
12004,Cumberland--Colchester,Hirtle,Alana,Liberal,23929
12005,Dartmouth--Cole Harbour,Fisher,Darren,Liberal,40367
12005,Dartmouth--Cole Harbour,Lindsay,Michelle,PPC,750
12005,Dartmouth--Cole Harbour,Morrison,Keith,NDP,4201
